"Method","Chain","Parameter","Mean","Median","Std_Dev","CrI_95_Lower","CrI_95_Upper","Odds_Ratio"
"Full-data RWMH",1,"(Intercept)",-1.89801305242581,-1.89794601109871,0.0130288442314682,-1.92369387757336,-1.87264758266527,0.14986609966893
"Full-data RWMH",1,"road_typedual carriageway",-0.226085085916942,-0.226012933399536,0.0395143038130538,-0.30392558808575,-0.149105716972335,0.797650229977036
"Full-data RWMH",1,"road_typeone way street (from 2005)",-0.0131506476390699,-0.0116213028710139,0.0715546955861701,-0.156644143511264,0.125142075701574,0.986935444326016
"Full-data RWMH",1,"road_typeroundabout",-0.411079567013573,-0.410741802018218,0.0365950119128313,-0.482867604341312,-0.339350881665344,0.662934181809142
"Full-data RWMH",1,"road_typeslip road (from 2005)",-0.75979326824974,-0.758295420593317,0.119013935636863,-0.999963735789733,-0.532989809239871,0.467763118503159
"Full-data RWMH",1,"speed_limit1",0.17059099435277,0.170649494090327,0.0722609939134273,0.0267059417136161,0.310632047095518,1.18600556683287
"Full-data RWMH",1,"speed_limit3",0.180730393150617,0.1812340906812,0.0382765438718392,0.10512211959964,0.254018393371872,1.19809212190366
"Full-data RWMH",1,"speed_limit4",0.386062691739054,0.385817881235556,0.0564269396095991,0.275167319815316,0.497673814050399,1.47117689856198
"Full-data RWMH",1,"speed_limit5",0.537822369593029,0.537976797632926,0.0327930683630104,0.473365102086431,0.600778909989955,1.71227409922734
"Full-data RWMH",1,"speed_limit6",0.392428991483708,0.39267210884431,0.0675402642227688,0.257713415945596,0.525784520479613,1.48057272827558
"Full-data RWMH",2,"(Intercept)",-1.89805325010215,-1.898066755059,0.0128072428081151,-1.92322896864478,-1.87334013667728,0.14986007552104
"Full-data RWMH",2,"road_typedual carriageway",-0.224754843178478,-0.225101755156728,0.0385382888813426,-0.299324154718718,-0.148815196048376,0.798712004455621
"Full-data RWMH",2,"road_typeone way street (from 2005)",-0.0127926826865966,-0.0122194865150939,0.0726498025716075,-0.154749205140676,0.130253257406966,0.987288795865398
"Full-data RWMH",2,"road_typeroundabout",-0.411622592961723,-0.411368379823551,0.0367980516146025,-0.485595038666284,-0.339817977541816,0.662574289070895
"Full-data RWMH",2,"road_typeslip road (from 2005)",-0.756473397809093,-0.754190256734,0.120296151958681,-0.999915047429771,-0.52579686116729,0.469318612043354
"Full-data RWMH",2,"speed_limit1",0.170231137338205,0.171379113989196,0.071373393295724,0.0246825189914031,0.307411713237198,1.18557885119324
"Full-data RWMH",2,"speed_limit3",0.182332287378678,0.181971356986497,0.0378682484189125,0.108981966929675,0.257372737504618,1.20001287677076
"Full-data RWMH",2,"speed_limit4",0.38452530237033,0.384519935517267,0.0573324148685338,0.274408822741038,0.497219830083951,1.46891686455989
"Full-data RWMH",2,"speed_limit5",0.538220770640791,0.538374535740466,0.0326417653594647,0.473860476494303,0.601678358883488,1.71295640692955
"Full-data RWMH",2,"speed_limit6",0.391355143763741,0.391951979735817,0.0679852219677307,0.257287151630776,0.522827922273135,1.47898367198201
"Full-data RWMH",3,"(Intercept)",-1.89819436264922,-1.89812169161135,0.0129395589965728,-1.9238653207087,-1.87316904427338,0.149838929876072
"Full-data RWMH",3,"road_typedual carriageway",-0.226569214551966,-0.226326185867564,0.0389714899676917,-0.303122226932999,-0.151354160982738,0.797264158121732
"Full-data RWMH",3,"road_typeone way street (from 2005)",-0.0115822503362504,-0.0114258803230979,0.0718839592169735,-0.151357663550132,0.129605724320559,0.988484565716306
"Full-data RWMH",3,"road_typeroundabout",-0.409986839538726,-0.40959984767073,0.0366074696354779,-0.481552229366065,-0.338382526509003,0.663658984137207
"Full-data RWMH",3,"road_typeslip road (from 2005)",-0.756177867972527,-0.75414282706812,0.114667333712252,-0.984931378767095,-0.537480509256467,0.469457330192735
"Full-data RWMH",3,"speed_limit1",0.17040858395989,0.171015550615699,0.0721626264259013,0.0260448457703785,0.310772441791979,1.18578924682157
"Full-data RWMH",3,"speed_limit3",0.181980877334852,0.182131081448459,0.0383188306638672,0.106872359394318,0.256014867029737,1.19959125427867
"Full-data RWMH",3,"speed_limit4",0.385000274045445,0.385387898504181,0.0581746254036667,0.270546882150176,0.49898135477671,1.46961472418231
"Full-data RWMH",3,"speed_limit5",0.538523620696466,0.538505401039592,0.0323276334221256,0.476883830863284,0.603100912517538,1.71347525443529
"Full-data RWMH",3,"speed_limit6",0.389175503260698,0.390370921376457,0.0685390050252806,0.253081850403047,0.522437996107375,1.47576352991812
"Full-data RWMH",4,"(Intercept)",-1.89772412611467,-1.89769314902011,0.0130844327796741,-1.9230664529222,-1.87194376179613,0.149909406184167
"Full-data RWMH",4,"road_typedual carriageway",-0.22617564961432,-0.225842963076618,0.039684822074603,-0.305330047480934,-0.149668388578956,0.797577995093974
"Full-data RWMH",4,"road_typeone way street (from 2005)",-0.0135623013270989,-0.0133195669757113,0.0729718355794642,-0.156227317602653,0.128516837827098,0.986529252321467
"Full-data RWMH",4,"road_typeroundabout",-0.411576864205366,-0.410876994036568,0.0370451926714066,-0.484751065689651,-0.341093123290426,0.662604588461899
"Full-data RWMH",4,"road_typeslip road (from 2005)",-0.759368979047406,-0.757743333700978,0.117812278614819,-0.996407588104297,-0.535062309051566,0.467961627453214
"Full-data RWMH",4,"speed_limit1",0.167135626836778,0.168014904742028,0.0713628171737062,0.0263946320896139,0.305634213560213,1.18191455377068
"Full-data RWMH",4,"speed_limit3",0.18105111911547,0.18165332868282,0.038210189329115,0.105802729056528,0.256066442556152,1.19847644278299
"Full-data RWMH",4,"speed_limit4",0.381482503792836,0.382002180806867,0.0567917855800658,0.26756940327291,0.491199235111776,1.46445403959597
"Full-data RWMH",4,"speed_limit5",0.536618563622134,0.53662553570236,0.0329660041247023,0.472232541374278,0.60126660406957,1.71021409361518
"Full-data RWMH",4,"speed_limit6",0.390909506083773,0.391281044112836,0.0684010005752485,0.256228460059226,0.524067112794975,1.47832472796576
