"Artifact","File_Path","Artifact_Type","Report_Section","Description","Required_For_Thesis","Generated_By_Export","Exists","Notes"
"full_data_rwmh_acf_02","Figure/full_data_rwmh_acf_02.pdf","Figure","Figures","Full-data RWMH posterior autocorrelation plots, page 2",TRUE,TRUE,TRUE,""
"full_data_rwmh_acf_03","Figure/full_data_rwmh_acf_03.pdf","Figure","Figures","Full-data RWMH posterior autocorrelation plots, page 3",TRUE,TRUE,TRUE,""
"full_data_rwmh_acf_04","Figure/full_data_rwmh_acf_04.pdf","Figure","Figures","Full-data RWMH posterior autocorrelation plots, page 4",TRUE,TRUE,TRUE,""
"full_data_rwmh_acf_05","Figure/full_data_rwmh_acf_05.pdf","Figure","Figures","Full-data RWMH posterior autocorrelation plots, page 5",TRUE,TRUE,TRUE,""
"full_data_rwmh_hist_trace_01","Figure/full_data_rwmh_hist_trace_01.pdf","Figure","Figures","Full-data RWMH posterior histograms and trace plots, page 1",TRUE,TRUE,TRUE,""
"full_data_rwmh_hist_trace_02","Figure/full_data_rwmh_hist_trace_02.pdf","Figure","Figures","Full-data RWMH posterior histograms and trace plots, page 2",TRUE,TRUE,TRUE,""
"full_data_rwmh_hist_trace_03","Figure/full_data_rwmh_hist_trace_03.pdf","Figure","Figures","Full-data RWMH posterior histograms and trace plots, page 3",TRUE,TRUE,TRUE,""
"full_data_rwmh_hist_trace_04","Figure/full_data_rwmh_hist_trace_04.pdf","Figure","Figures","Full-data RWMH posterior histograms and trace plots, page 4",TRUE,TRUE,TRUE,""
"full_data_rwmh_hist_trace_05","Figure/full_data_rwmh_hist_trace_05.pdf","Figure","Figures","Full-data RWMH posterior histograms and trace plots, page 5",TRUE,TRUE,TRUE,""
"residual_acf_correlograms","Figure/residual_acf_correlograms.pdf","Figure","Figures","Residual autocorrelation correlograms",TRUE,TRUE,TRUE,""
"road_type_dual_carriageway","Figure/road_type_dual_carriageway.png","Figure","Data and preprocessing","Fixed road-type example: Road Type Dual Carriageway",TRUE,FALSE,FALSE,"Fixed thesis image is missing and was not generated."
"road_type_roundabout","Figure/road_type_roundabout.png","Figure","Data and preprocessing","Fixed road-type example: Road Type Roundabout",TRUE,FALSE,FALSE,"Fixed thesis image is missing and was not generated."
"road_type_single_carriageway","Figure/road_type_single_carriageway.png","Figure","Data and preprocessing","Fixed road-type example: Road Type Single Carriageway",TRUE,FALSE,FALSE,"Fixed thesis image is missing and was not generated."
"road_type_slip_road","Figure/road_type_slip_road.png","Figure","Data and preprocessing","Fixed road-type example: Road Type Slip Road",TRUE,FALSE,FALSE,"Fixed thesis image is missing and was not generated."
"acceptance_rates","Results/acceptance_rates.csv","Result table","MCMC diagnostics","Acceptance Rates",TRUE,TRUE,TRUE,""
"cmc_imh_posterior_summary","Results/cmc_imh_posterior_summary.csv","Result table","Posterior summaries","Cmc Imh Posterior Summary",TRUE,TRUE,TRUE,""
"cmc_rmse_comparison","Results/cmc_rmse_comparison.csv","Result table","CMC approximation accuracy","Cmc Rmse Comparison",TRUE,TRUE,TRUE,""
"cmc_rwmh_posterior_summary","Results/cmc_rwmh_posterior_summary.csv","Result table","Posterior summaries","Cmc Rwmh Posterior Summary",TRUE,TRUE,TRUE,""
"cmc_shard_response_distribution","Results/cmc_shard_response_distribution.csv","Result table","Data and preprocessing","Cmc Shard Response Distribution",TRUE,TRUE,TRUE,""
"cmc_shard_sizes","Results/cmc_shard_sizes.csv","Result table","Data and preprocessing","Cmc Shard Sizes",TRUE,TRUE,TRUE,""
"deviance_residual_summary","Results/deviance_residual_summary.csv","Result table","Frequentist logistic regression","Deviance Residual Summary",TRUE,TRUE,TRUE,""
"effective_sample_size","Results/effective_sample_size.csv","Result table","MCMC diagnostics","Effective sample size by method and parameter",TRUE,TRUE,TRUE,""
"export_object_availability","Results/export_object_availability.csv","Result table","CMC diagnostics","Export Object Availability",TRUE,TRUE,TRUE,""
"frequentist_gvif","Results/frequentist_gvif.csv","Result table","Frequentist logistic regression","Frequentist Gvif",TRUE,TRUE,TRUE,""
"frequentist_likelihood_ratio_test","Results/frequentist_likelihood_ratio_test.csv","Result table","Frequentist logistic regression","Frequentist Likelihood Ratio Test",TRUE,TRUE,TRUE,""
"frequentist_logistic_summary","Results/frequentist_logistic_summary.csv","Result table","Frequentist logistic regression","Frequentist Logistic Summary",TRUE,TRUE,TRUE,""
"full_data_imh_posterior_summary","Results/full_data_imh_posterior_summary.csv","Result table","Posterior summaries","Full Data Imh Posterior Summary",TRUE,TRUE,TRUE,""
"full_data_rwmh_posterior_summary","Results/full_data_rwmh_posterior_summary.csv","Result table","Posterior summaries","Full Data Rwmh Posterior Summary",TRUE,TRUE,TRUE,""
"gelman_rubin_diagnostics","Results/gelman_rubin_diagnostics.csv","Result table","MCMC diagnostics","Gelman-Rubin Rhat diagnostics for final multi-chain posterior samples",TRUE,TRUE,TRUE,""
"model_settings","Results/model_settings.csv","Result table","Bayesian model settings","Model Settings",TRUE,TRUE,TRUE,""
"pearson_residual_summary","Results/pearson_residual_summary.csv","Result table","Frequentist logistic regression","Pearson Residual Summary",TRUE,TRUE,TRUE,""
"posterior_mean_comparison","Results/posterior_mean_comparison.csv","Result table","Posterior summaries","Posterior Mean Comparison",TRUE,TRUE,TRUE,""
"reference_categories","Results/reference_categories.csv","Result table","Data and preprocessing","Reference Categories",TRUE,TRUE,TRUE,""
"report_artifact_manifest","Results/report_artifact_manifest.csv","Result table","Artifact validation","Manifest of report-ready and supplementary artifacts",TRUE,TRUE,TRUE,"Generated by Export_Results.r."
"response_distribution","Results/response_distribution.csv","Result table","Data and preprocessing","Response Distribution",TRUE,TRUE,TRUE,""
"road_type_distribution","Results/road_type_distribution.csv","Result table","Data and preprocessing","Road Type Distribution",TRUE,TRUE,TRUE,""
"runtime_comparison","Results/runtime_comparison.csv","Result table","Runtime comparison","Runtime Comparison",TRUE,TRUE,TRUE,""
"speed_limit_distribution","Results/speed_limit_distribution.csv","Result table","Data and preprocessing","Speed Limit Distribution",TRUE,TRUE,TRUE,""
"cmc_imh_chain_dimensions","Results/cmc_imh_chain_dimensions.csv","Result table","MCMC diagnostics","CMC-IMH final consensus chain dimensions",FALSE,TRUE,TRUE,""
"cmc_imh_chain_posterior_summary","Results/cmc_imh_chain_posterior_summary.csv","Result table","Posterior summaries","CMC-IMH final consensus chain-specific posterior summaries",FALSE,TRUE,TRUE,""
"cmc_imh_posterior_mean_error","Results/cmc_imh_posterior_mean_error.csv","Result table","CMC approximation accuracy","Cmc Imh Posterior Mean Error",FALSE,TRUE,TRUE,""
"cmc_imh_rmse","Results/cmc_imh_rmse.csv","Result table","CMC approximation accuracy","Cmc Imh Rmse",FALSE,TRUE,TRUE,""
"cmc_rwmh_chain_dimensions","Results/cmc_rwmh_chain_dimensions.csv","Result table","MCMC diagnostics","CMC-RWMH final consensus chain dimensions",FALSE,TRUE,TRUE,""
"cmc_rwmh_chain_posterior_summary","Results/cmc_rwmh_chain_posterior_summary.csv","Result table","Posterior summaries","CMC-RWMH final consensus chain-specific posterior summaries",FALSE,TRUE,TRUE,""
"cmc_rwmh_posterior_mean_error","Results/cmc_rwmh_posterior_mean_error.csv","Result table","CMC approximation accuracy","Cmc Rwmh Posterior Mean Error",FALSE,TRUE,TRUE,""
"cmc_rwmh_rmse","Results/cmc_rwmh_rmse.csv","Result table","CMC approximation accuracy","Cmc Rwmh Rmse",FALSE,TRUE,TRUE,""
"cmc_shard_effective_sample_size","Results/cmc_shard_effective_sample_size.csv","Result table","MCMC diagnostics","CMC shard-level effective sample size by parameter",FALSE,TRUE,TRUE,""
"cmc_shard_gelman_rubin_diagnostics","Results/cmc_shard_gelman_rubin_diagnostics.csv","Result table","MCMC diagnostics","CMC shard-level Gelman-Rubin Rhat diagnostics",FALSE,TRUE,TRUE,""
"cmc_shard_road_type_distribution","Results/cmc_shard_road_type_distribution.csv","Result table","Data and preprocessing","Cmc Shard Road Type Distribution",FALSE,TRUE,TRUE,""
"cmc_shard_speed_limit_distribution","Results/cmc_shard_speed_limit_distribution.csv","Result table","Data and preprocessing","Cmc Shard Speed Limit Distribution",FALSE,TRUE,TRUE,""
"data_preview","Results/data_preview.csv","Result table","Data and preprocessing","Data Preview",FALSE,TRUE,TRUE,""
"design_matrix_info","Results/design_matrix_info.csv","Result table","Data and preprocessing","Design Matrix Info",FALSE,TRUE,TRUE,""
"ess_mcse_comparison","Results/ess_mcse_comparison.csv","Result table","Posterior summaries","Ess Mcse Comparison",FALSE,TRUE,TRUE,""
"frequentist_coefficient_covariance","Results/frequentist_coefficient_covariance.csv","Result table","Frequentist logistic regression","Frequentist Coefficient Covariance",FALSE,TRUE,TRUE,""
