"Parameter","Mean","Median","Std_Dev","ESS","MCSE","Lower_95_CI","Upper_95_CI"
"(Intercept)",-1.89812336861031,-1.89821773095112,0.0126638748280967,2505.92014058362,0.000252978140448958,-1.92276550833307,-1.87343656624248
"road_typedual carriageway",-0.22498178113027,-0.225134368677769,0.0392852357763913,2313.39756567205,0.000816778367450767,-0.301209756906905,-0.147031974280409
"road_typeone way street (from 2005)",-0.0122589143161953,-0.0110603626290325,0.0730955918547473,2461.15009041634,0.00147340499288102,-0.156670451555028,0.128363049345265
"road_typeroundabout",-0.411432302368425,-0.411432421507159,0.0363375986216303,2265.28474327591,0.000763475004951604,-0.483944955713093,-0.341060729408588
"road_typeslip road (from 2005)",-0.757366437148149,-0.754298350434296,0.117384076222063,2384.17504718339,0.00240403129766488,-0.992813426128291,-0.533163002185544
"speed_limit1",0.170278565939491,0.171111012602293,0.0712771901112635,2389.68520717448,0.00145807620651433,0.0295589940571002,0.30685203953133
"speed_limit3",0.1822334708889,0.182633619873092,0.0384457546073425,2406.51321886087,0.000783707970732622,0.106450199325059,0.25664654734476
"speed_limit4",0.383441175349393,0.38475344004298,0.0568927837499694,2397.32768427167,0.00116196616972421,0.270841689425321,0.490709452182954
"speed_limit5",0.537608719711218,0.538037017838552,0.0324251156815338,2407.32361116412,0.000660867350408793,0.473758866161948,0.600789326899056
"speed_limit6",0.389178247903049,0.389852314379014,0.0682801325282876,2350.29261605033,0.00140842390378096,0.254170532887035,0.521883933656118
