"Method","Runtime_Seconds","Runtime_Minutes"
"Full-data RWMH",1134.1289460659,18.9021491010984
"Full-data IMH",1161.22890806198,19.3538151343664
"CMC-RWMH",1091.55763912201,18.1926273187002
"CMC-IMH",1103.18495392799,18.3864158987999
