"Method","Shard","Parameter","ESS"
"CMC-RWMH",10,"road_typeroundabout",11681.8543180671
"CMC-RWMH",10,"road_typeslip road (from 2005)",7447.94185385387
"CMC-RWMH",10,"speed_limit1",9893.33151732914
"CMC-RWMH",10,"speed_limit3",10871.2234182288
"CMC-RWMH",10,"speed_limit4",11204.0969907178
"CMC-RWMH",10,"speed_limit5",10167.5938893146
"CMC-RWMH",10,"speed_limit6",8974.97434190815
"CMC-IMH",1,"(Intercept)",210202.506529145
"CMC-IMH",1,"road_typedual carriageway",205889.731288571
"CMC-IMH",1,"road_typeone way street (from 2005)",177286.578541537
"CMC-IMH",1,"road_typeroundabout",202291.232326739
"CMC-IMH",1,"road_typeslip road (from 2005)",104997.550324072
"CMC-IMH",1,"speed_limit1",184457.047024484
"CMC-IMH",1,"speed_limit3",206152.079739064
"CMC-IMH",1,"speed_limit4",188288.179387801
"CMC-IMH",1,"speed_limit5",209832.272233237
"CMC-IMH",1,"speed_limit6",192995.280034066
"CMC-IMH",2,"(Intercept)",205103.252851253
"CMC-IMH",2,"road_typedual carriageway",203033.213095173
"CMC-IMH",2,"road_typeone way street (from 2005)",146811.470657238
"CMC-IMH",2,"road_typeroundabout",198991.82980947
"CMC-IMH",2,"road_typeslip road (from 2005)",120314.726062287
"CMC-IMH",2,"speed_limit1",159369.568866843
"CMC-IMH",2,"speed_limit3",200301.346436292
"CMC-IMH",2,"speed_limit4",194018.281226739
"CMC-IMH",2,"speed_limit5",195562.13832549
"CMC-IMH",2,"speed_limit6",188499.189764756
"CMC-IMH",3,"(Intercept)",220716.590174333
"CMC-IMH",3,"road_typedual carriageway",211675.607868738
"CMC-IMH",3,"road_typeone way street (from 2005)",187988.634559576
"CMC-IMH",3,"road_typeroundabout",214637.139056731
"CMC-IMH",3,"road_typeslip road (from 2005)",152574.572847549
"CMC-IMH",3,"speed_limit1",188423.219189142
"CMC-IMH",3,"speed_limit3",208599.985786147
"CMC-IMH",3,"speed_limit4",198951.11419176
"CMC-IMH",3,"speed_limit5",211849.348660807
"CMC-IMH",3,"speed_limit6",207916.236964933
"CMC-IMH",4,"(Intercept)",210693.885414324
"CMC-IMH",4,"road_typedual carriageway",202824.38674764
"CMC-IMH",4,"road_typeone way street (from 2005)",193148.660054236
"CMC-IMH",4,"road_typeroundabout",204829.441395354
"CMC-IMH",4,"road_typeslip road (from 2005)",112619.419154907
"CMC-IMH",4,"speed_limit1",183796.29496746
"CMC-IMH",4,"speed_limit3",208700.186486868
"CMC-IMH",4,"speed_limit4",199247.319925741
"CMC-IMH",4,"speed_limit5",187296.364624757
"CMC-IMH",4,"speed_limit6",183807.176568466
"CMC-IMH",5,"(Intercept)",223024.044212996
"CMC-IMH",5,"road_typedual carriageway",214059.279607562
"CMC-IMH",5,"road_typeone way street (from 2005)",181585.294869537
"CMC-IMH",5,"road_typeroundabout",209067.628285901
"CMC-IMH",5,"road_typeslip road (from 2005)",149114.165505533
"CMC-IMH",5,"speed_limit1",197976.700917364
"CMC-IMH",5,"speed_limit3",215232.905405238
"CMC-IMH",5,"speed_limit4",198907.995097463
"CMC-IMH",5,"speed_limit5",214369.260012175
"CMC-IMH",5,"speed_limit6",201927.239269868
"CMC-IMH",6,"(Intercept)",220224.052654383
"CMC-IMH",6,"road_typedual carriageway",216059.307318827
"CMC-IMH",6,"road_typeone way street (from 2005)",199298.513115036
"CMC-IMH",6,"road_typeroundabout",216209.094760432
"CMC-IMH",6,"road_typeslip road (from 2005)",162588.623724518
"CMC-IMH",6,"speed_limit1",192231.385477016
"CMC-IMH",6,"speed_limit3",220003.855788731
"CMC-IMH",6,"speed_limit4",190236.672668328
"CMC-IMH",6,"speed_limit5",220356.903045224
"CMC-IMH",6,"speed_limit6",202595.134415523
"CMC-IMH",7,"(Intercept)",227209.962131534
"CMC-IMH",7,"road_typedual carriageway",214156.924744608
"CMC-IMH",7,"road_typeone way street (from 2005)",194119.400877895
"CMC-IMH",7,"road_typeroundabout",216878.251002372
"CMC-IMH",7,"road_typeslip road (from 2005)",168974.197215591
"CMC-IMH",7,"speed_limit1",194033.218612942
"CMC-IMH",7,"speed_limit3",215586.716397291
"CMC-IMH",7,"speed_limit4",198113.810153343
"CMC-IMH",7,"speed_limit5",222957.319722699
"CMC-IMH",7,"speed_limit6",203272.646394617
"CMC-IMH",8,"(Intercept)",212927.802217277
"CMC-IMH",8,"road_typedual carriageway",201039.531888581
"CMC-IMH",8,"road_typeone way street (from 2005)",188290.51255333
"CMC-IMH",8,"road_typeroundabout",196401.943580642
"CMC-IMH",8,"road_typeslip road (from 2005)",112571.505755425
"CMC-IMH",8,"speed_limit1",184665.356044803
"CMC-IMH",8,"speed_limit3",198741.436495175
"CMC-IMH",8,"speed_limit4",198937.43036671
"CMC-IMH",8,"speed_limit5",200699.247891537
"CMC-IMH",8,"speed_limit6",185480.358177192
"CMC-IMH",9,"(Intercept)",233073.862998669
"CMC-IMH",9,"road_typedual carriageway",215879.342369953
"CMC-IMH",9,"road_typeone way street (from 2005)",198771.850841683
"CMC-IMH",9,"road_typeroundabout",218347.731227411
"CMC-IMH",9,"road_typeslip road (from 2005)",188565.261834932
"CMC-IMH",9,"speed_limit1",204168.403171796
"CMC-IMH",9,"speed_limit3",222973.333506995
"CMC-IMH",9,"speed_limit4",216038.011351758
"CMC-IMH",9,"speed_limit5",224889.682795016
"CMC-IMH",9,"speed_limit6",211101.698121299
"CMC-IMH",10,"(Intercept)",207608.570314826
"CMC-IMH",10,"road_typedual carriageway",201089.703562415
"CMC-IMH",10,"road_typeone way street (from 2005)",183757.633023867
"CMC-IMH",10,"road_typeroundabout",202601.130472364
"CMC-IMH",10,"road_typeslip road (from 2005)",104110.201675009
"CMC-IMH",10,"speed_limit1",183756.499622395
"CMC-IMH",10,"speed_limit3",203580.414475643
"CMC-IMH",10,"speed_limit4",192847.834712073
"CMC-IMH",10,"speed_limit5",203138.23533235
"CMC-IMH",10,"speed_limit6",171564.661300995
