"Speed_Limit","Count","Proportion"
"1",1588,0.0192849509375304
"2",61809,0.750619352958321
"3",6971,0.0846570484795492
"4",2516,0.0305547459438453
"5",7066,0.0858107451666181
"6",2394,0.0290731565141358
