"Parameter","Mean","Median","Std_Dev","ESS","MCSE","CrI_95","Odds_Ratio"
"(Intercept)",-1.89807935858923,-1.89805274908402,0.0129408498524739,290753.024636002,2.39994162152195e-05,"(-1.9235, -1.8728)",0.14985616295227
"road_typedual carriageway",-0.224984315294782,-0.224837186064447,0.0389285456970494,285336.000304363,7.28769007308196e-05,"(-0.302, -0.1492)",0.798528743349102
"road_typeone way street (from 2005)",-0.0128483383987931,-0.0122030953046108,0.072514928303561,284381.220238205,0.000135980603790218,"(-0.1564, 0.1281)",0.987233849133385
"road_typeroundabout",-0.410731855313089,-0.410570110705043,0.0368228084586648,290984.545222503,6.82624619086067e-05,"(-0.4835, -0.3391)",0.66316473186096
"road_typeslip road (from 2005)",-0.757633179330435,-0.755966824617869,0.117681727116924,273966.871109804,0.000224832975785996,"(-0.9922, -0.5312)",0.468774620506127
"speed_limit1",0.171319294433014,0.171869985569229,0.0716964075997649,283691.056479093,0.000134609147329264,"(0.0291, 0.3105)",1.18686964939987
"speed_limit3",0.18176812866384,0.181843874554512,0.038269805045993,285040.347811391,7.168083904208e-05,"(0.1064, 0.2568)",1.19933606997958
"speed_limit4",0.383740559807013,0.383882958989836,0.0570168632691657,283737.261503977,0.000107039762030458,"(0.2716, 0.4953)",1.46776459515085
"speed_limit5",0.537876469826557,0.537953831649228,0.0327343011732758,289315.909480521,6.08578934858931e-05,"(0.4737, 0.6018)",1.71236673616179
"speed_limit6",0.390093387051676,0.390569339592805,0.0683921585674903,276066.089443897,0.000130166665407998,"(0.2548, 0.5229)",1.47711873120505
